Vce (V);Error Vce (V);IC (mA);Error IC (mA);Vce1 (V);Error Vce1 (V);IC1 (mA);Error IC1 (mA);Vce2 (V);Error Vce2 (V);IC2 (mA);Error IC2 (mA)
0.045;0.001;0.036;0.002;0.0442;0.0003;0.037;0.001;0.0359;0.0003;0.045;0.001
0.066;0.001;0.104;0.002;0.0640;0.0004;0.107;0.001;0.0499;0.0003;0.119;0.001
0.081;0.001;0.174;0.003;0.0783;0.0004;0.180;0.002;0.0602;0.0004;0.195;0.002
0.092;0.001;0.253;0.003;0.0895;0.0005;0.256;0.002;0.0690;0.0004;0.273;0.002
0.102;0.002;0.329;0.003;0.0988;0.0005;0.333;0.003;0.0762;0.0004;0.352;0.003
0.110;0.002;0.408;0.004;0.1078;0.0005;0.412;0.003;0.0824;0.0004;0.432;0.003
0.118;0.002;0.486;0.004;0.1142;0.0005;0.490;0.003;0.0880;0.0005;0.512;0.003
0.126;0.002;0.564;0.005;0.1207;0.0006;0.569;0.004;0.0928;0.0005;0.592;0.004
0.131;0.002;0.643;0.005;0.1270;0.0006;0.649;0.004;0.0976;0.0005;0.673;0.004
0.137;0.002;0.724;0.005;0.1323;0.0006;0.729;0.004;0.1021;0.0005;0.754;0.005
0.143;0.002;0.80;0.02;0.1378;0.0006;0.809;0.005;0.105;0.003;0.835;0.005
0.148;0.002;0.88;0.02;0.1428;0.0006;0.889;0.005;0.109;0.003;0.92;0.01
0.154;0.002;0.96;0.02;0.1489;0.0006;0.968;0.006;0.112;0.003;0.99;0.01
0.161;0.002;1.03;0.02;0.1532;0.0007;1.048;0.006;0.116;0.003;1.08;0.01
0.166;0.002;1.11;0.02;0.1583;0.0007;1.128;0.006;0.119;0.003;1.15;0.01
0.173;0.002;1.19;0.02;0.163;0.003;1.208;0.007;0.122;0.003;1.24;0.01
0.177;0.002;1.27;0.02;0.167;0.003;1.286;0.007;0.125;0.003;1.31;0.02
0.186;0.002;1.35;0.02;0.175;0.003;1.364;0.008;0.128;0.003;1.40;0.02
0.191;0.002;1.42;0.02;0.180;0.003;1.445;0.008;0.130;0.003;1.47;0.02
0.199;0.002;1.51;0.02;0.186;0.003;1.525;0.008;0.132;0.003;1.56;0.02
0.206;0.002;1.58;0.02;0.192;0.003;1.597;0.009;0.133;0.003;1.64;0.02
0.220;0.002;1.65;0.03;0.198;0.003;1.675;0.009;0.136;0.003;1.72;0.02
0.234;0.002;1.72;0.03;0.205;0.003;1.75;0.02;0.136;0.003;1.81;0.02
0.250;0.002;1.79;0.03;0.213;0.003;1.82;0.02;0.138;0.003;1.89;0.02
0.287;0.002;1.86;0.03;0.222;0.003;1.90;0.02;0.142;0.003;1.97;0.02
0.351;0.003;1.87;0.03;0.235;0.003;1.97;0.02;0.144;0.003;2.05;0.02
0.437;0.003;1.89;0.03;0.249;0.003;2.05;0.02;0.146;0.003;2.14;0.02
0.511;0.004;1.91;0.03;0.261;0.003;2.12;0.02;0.148;0.003;2.22;0.02
0.607;0.004;1.92;0.03;0.300;0.004;2.18;0.02;0.150;0.003;2.30;0.02
0.678;0.004;1.95;0.03;0.370;0.004;2.20;0.02;0.154;0.003;2.38;0.02
0.000;0.000;0.000;0.000;0.710;0.006;2.16;0.02;0.163;0.003;2.63;0.02
0.000;0.000;0.000;0.000;0.980;0.007;2.18;0.02;0.169;0.003;2.87;0.02
0.000;0.000;0.000;0.000;1.270;0.008;2.20;0.02;0.177;0.003;3.09;0.02
0.000;0.000;0.000;0.000;1.460;0.009;2.20;0.02;0.183;0.003;3.25;0.02
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.1860;0.0008;3.53;0.03
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.2025;0.0008;3.78;0.03
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.2094;0.0008;4.03;0.03
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.2181;0.0009;4.28;0.03
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.2290;0.0009;4.53;0.03
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.2415;0.0009;4.76;0.03
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.255;0.001;4.92;0.03
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.282;0.001;5.15;0.03
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.397;0.004;5.32;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.555;0.005;5.34;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.633;0.005;5.36;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.880;0.006;5.39;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.116;0.008;5.44;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.395;0.009;5.47;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.62;0.01;5.53;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.87;0.01;5.57;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.01;0.01;5.61;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.27;0.01;5.65;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.52;0.01;5.69;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.81;0.02;5.70;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;2.89;0.02;5.72;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.08;0.02;5.74;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.03;0.02;5.86;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;3.90;0.02;5.96;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;4.83;0.04;6.03;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;5.70;0.05;6.14;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;6.55;0.05;6.27;0.04
0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;7.34;0.06;6.42;0.04
